index,length,year,make,model,city,state,price
1,42,1997,Hunter,Passage Center Cockpit,San Carlos Mexico,Colorado,"$ 112,000",
2,37,1988,Express,37 MK II,Redwood City,Colorado,"$ 67,500"
3,31,2001,Catalina,310,Pueblo Reservoir,Colorado,"$ 54,000"
4,30,1969,C & C  Hinterholler Ltd,Redwing 30,Colorado Springs,Colorado,"$ 16,500"
5,28,1979,Mariner,28',Pueblo Resevoir,Colorado,"$ 13,500"
6,28,1978,Pearson,2,Denver,Colorado,"$ 9,000"
7,28,1993,Marine Concepts,Sea Pearl 28,Denver,Colorado,"$ 17,000"
8,28,1985,Ericson,28,Carter Lake - Colorado,Colorado,"$ 19,500"
9,28,1973,Irwin,28,Durango,Colorado,"$ 7,500"
10,27,1973,Catalina,C27-tall rig,Loveland,Colorado,"$ 8,900"
11,27,74,Catalina,27,Colorado Springs,Colorado,"$ 9,100"
12,27,1978,Catalina,27,Denver,Colorado,"$ 8,500"
13,27,1978,Catalina,,Durango,Colorado,"$ 9,500"
14,26,1976,1976,Contessa 26 w/ trailer,Pueblo,Colorado,"$ 8,500"
15,26,1980,Clark,San Juan 7.7,Silverthorne,Colorado,"$ 12,000"
16,26,1976,Costal Recreation,26' Balboa,Basalt,Colorado,"$ 15,000"
17,26,1992,MacGregor,Classic,Denver,Colorado,"$ 7,900"
18,26,1995,Macgregor,26S,Navajo State Park,Colorado,"$ 10,000"
19,25,1984,CapriCatalina,Capri,Denver,Colorado,"$ 6,900"
20,25,2006,Catalina,250 Mark 11,Indian Peaks Marina Lake Granby,Colorado,"$ 23,000"
21,25,1977,Hunter,Hunter Cherubini 25,Lake Dillon Dillon Colorado,Colorado,"$ 2,950"
22,25,1967,Coronado,25,Littleton,Colorado,"$ 3,900"
23,25,,Catalina,250 Water Ballast,Glenwood Springs,Colorado,"$ 16,500"
24,25,1981,Mcgregor,,Aurora,Colorado,"$ 6,000"
25,24,1980,J boats,J 24,Frisco,Colorado,"$ 6,500"
26,24,1990,Sovereign,Princess,Cherry Creek MariniaGreenwood Village,Colorado,"$ 9,500"
27,24,2015,adventure 24,24 trimaran,Glenwood Springs,Colorado,"$ 6,000"
28,24,1983,j boats,j24,parker,Colorado,"$ 12,000"
29,23,,Dick Newick,Tremolino,Cortez,Colorado,"$ 6,000"
30,23,1976,Ranger,23,Basalt,Colorado,"$ 8,200"
31,23,1995,Tremolino,Tremolino,Durango,Colorado,"$ 10,000"
32,23'4,1993,WD Shock Corp,Santana 2023-A,Mancos,Colorado,"$ 7,900"
33,23.00,1980,Clark Boats,San Juan 23,Durango,Colorado,"$ 6,000"
34,22.5,1973,Pearson,Ensign,Cherry Creek Reservoir DenverCO,Colorado,"$ 7,500"
35,22,1982,Macgregor,,Johnstown,Colorado,"$ 2,000"
36,22,2005,Catalina,Capri 22,Dry Storage Chatfield Marina,Colorado,"$ 16,900"
37,22,1976,Catalina,c22,littleton,Colorado,"$ 2,000"
38,20,1975,Marieholm,MS-20,Loveland,Colorado,"$ 6,200"
39,20,1976,Marieholmes Bruk,MarieHolme MS-20,Loveland,Colorado,"$ 5,000"
40,18,1982,Laguna,Windrose,Indian Peaks Marina,Colorado,"$ 2,200"
41,18,,Watershed Sailboats,i550,Pagosa Springs Colorado,Colorado,$ 150
42,18,72,Gulf Coast,1972,Evergreen,Colorado,"$ 1,000"
43,18,2003,Bimare,Javelin 2,Steamboat Springs,Colorado,"$ 5,000"
44,18,1984,Renkin,18' Tangerine,Sterling,Colorado,"$ 3,800"
45,18'6',2016,Hobie,Tandem Island,Longmont,Colorado,"$ 6,349"
46,18',1978,Cape Dory,Typhoon Weekender,Denver,Colorado,"$ 4,500"
47,18,1984,Renken,Tangerine,Idaho Springs,Colorado,"$ 1,400"
48,18,1945,,Thistle,CArbondale,Colorado,$ 
49,17,1963,O'Day,daysailor,bv colorado,Colorado,"$ 1,000"
50,17,95,Helton Marine,Solo II,lyons,Colorado,"$ 4,200"
51,16,1980,Hobie Cat,BOA,Fort Collins,Colorado,"$ 1,600"
52,16'7,1976,Hobie,16,Grand Junction,Colorado,"$ 1,100"
53,16,1981,Phoenix,Snipe,Loveland,Colorado,$ 600
54,15.5,1969,Lofland,Snipe,Denver,Colorado,"$ 1,250"
55,14'6,1960,Koralle,15,Coloradao Springs,Colorado,"$ 3,900"
56,14,1967,cape dory,14 93,Oak Creek,Colorado,"$ 2,000"
57,14,2001,Com-pac,Picnic,Englewood,Colorado,"$ 7,900"
58,14,2014,penobscot,14,Boulder,Colorado,"$ 6,450"
59,12,,Rumba,Escape,PAGOSA  SPRINGS,Colorado,$ 900
60,26,1994,Hunter,H26,Ridgway,Colorado,"$ 14,900"
61,25,1997,Catalina,250,Dillon Marina Dillon CO,Colorado,"$ 19,000"
62,22,2013,hunter,22,colorado,Colorado,"$ 17,500"
