,Boat,Price,Website,Source,Year,Make,Model,Class,Length
0,2020 Tige 21ZX,Request a Price,https://www.boattrader.com/boat/2020-tige-21zx-7248019/,Boat Trader,2020,Tige,21ZX,Ski and Wakeboard,22'
1,2020 Tige 23RZX,Request a Price,https://www.boattrader.com/boat/2020-tige-23rzx-7248022/,Boat Trader,2020,Tige,23RZX,Ski and Wakeboard,23'
2,2020 ATX Surf Boats 24 Type-S,Request a Price,https://www.boattrader.com/boat/2020-atx-surf-boats-24-type-s-7255307/,Boat Trader,2020,ATX Surf Boats,24 Type-S,Ski and Wakeboard,24'
3,2020 ATX Surf Boats 22 Type-S,Request a Price,https://www.boattrader.com/boat/2020-atx-surf-boats-22-type-s-7255303/,Boat Trader,2020,ATX Surf Boats,22 Type-S,Ski and Wakeboard,22'
4,1991 Baja 320,"$37,800",https://www.boattrader.com/boat/1991-baja-320-7257928/,Boat Trader,1991,Baja,320,High Performance,32'
5,2020 Tige 23ZX,Request a Price,https://www.boattrader.com/boat/2020-tige-23zx-7248023/,Boat Trader,2020,Tige,23ZX,Ski and Wakeboard,23'
6,2020 Tige 25ZX,Request a Price,https://www.boattrader.com/boat/2020-tige-25zx-7248025/,Boat Trader,2020,Tige,25ZX,Ski and Wakeboard,25'
7,2020 Tige 20RZX,Request a Price,https://www.boattrader.com/boat/2020-tige-20rzx-7248018/,Boat Trader,2020,Tige,20RZX,Ski and Wakeboard,20'
8,2018 Tige RZX2,"$109,900",https://www.boattrader.com/boat/2018-tige-rzx2-7577755/,Boat Trader,2018,Tige,RZX2,Ski and Wakeboard,22'
9,2020 Tige 22RZX,Request a Price,https://www.boattrader.com/boat/2020-tige-22rzx-7248020/,Boat Trader,2020,Tige,22RZX,Ski and Wakeboard,22'
10,2018 Regency 254 DL3,"$49,925",https://www.boattrader.com/boat/2018-regency-254-dl3-7569866/,Boat Trader,2018,Regency,254 DL3,Pontoon,27'
11,2018 Tige RZ2,"$94,900",https://www.boattrader.com/boat/2018-tige-rz2-7545957/,Boat Trader,2018,Tige,RZ2,Ski and Wakeboard,22'
12,1987 Hake / Seaward Seaward 24',"$14,950",https://www.boattrader.com/boat/1987-hake-seaward-seaward-24--7564729/,Boat Trader,1987,Hake / Seaward,Seaward 24',Cruisers,24'
13,2001 Thunder Jet Alexis Classic,"$36,900",https://www.boattrader.com/boat/2001-thunder-jet-alexis-classic-7573947/,Boat Trader,2001,Thunder Jet,Alexis Classic,Jet,21'
14,1989 Sea Ray 268 Sundancer,"$9,900",https://www.boattrader.com/boat/1989-sea-ray-268-sundancer-7572144/,Boat Trader,1989,Sea Ray,268 Sundancer,Cruisers,26'
15,1984 Lund Wc 16 Dlx,"$4,500",https://www.boattrader.com/boat/1984-lund-wc-16-dlx-7580573/,Boat Trader,1984,Lund,Wc 16 Dlx,Freshwater Fishing,17'
16,1998 Sanger Dlx 20,"$12,000",https://www.boattrader.com/boat/1998-sanger-dlx-20-7567947/,Boat Trader,1998,Sanger,Dlx 20,Ski and Wakeboard,19'
17,2021 Nautique G23,Request a Price,https://www.boattrader.com/boat/2021-nautique-g23-7562445/,Boat Trader,2021,Nautique,G23,Ski and Wakeboard,23'
18,2021 Bennington 24R Bowrider,Request a Price,https://www.boattrader.com/boat/2021-bennington-24r-bowrider-7562520/,Boat Trader,2021,Bennington,24R Bowrider,Pontoon,24'
